neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Croydon,51.35491,-0.06737,Shared room,7,1,1,0,0
Bexley,51.48278,0.12518,Shared room,75,1,1,91,0
Ealing,51.52274,-0.25882,Shared room,64,1,1,365,0
Newham,51.54216,0.0206,Shared room,70,1,1,0,0
Southwark,51.4864,-0.05651,Shared room,35,1,1,0,0
Tower Hamlets,51.50933,-0.0202,Shared room,18,3,3,12,1
Hounslow,51.4386,-0.37628,Shared room,40,1,1,0,0
Brent,51.55708,-0.30771,Shared room,80,2,1,364,0
Camden,51.51852,-0.12535,Shared room,26,1,12,154,24
Bromley,51.42198,0.0183,Shared room,50,1,1,0,0
Newham,51.51374,0.01042,Shared room,60,1,1,0,0
Southwark,51.49139,-0.06418,Shared room,34,1,2,0,0
Croydon,51.38814,-0.10456,Shared room,50,1,1,0,0
Greenwich,51.48974,0.00673,Shared room,50,28,1,365,0
Westminster,51.48801,-0.13868,Shared room,95,5,1,72,0
Hackney,51.54752,-0.07344,Shared room,30,1,2,314,0
Westminster,51.51101,-0.1772,Shared room,178,1,1,89,0
Merton,51.41008,-0.16849,Shared room,70,2,1,183,1
Ealing,51.51445,-0.26824,Shared room,17,1,1,0,0
Greenwich,51.48579,0.09321,Shared room,85,1,1,364,0
Barnet,51.60141,-0.25206,Shared room,17,2,1,0,0
Merton,51.40865,-0.17157,Shared room,200,1,1,88,0
Enfield,51.66764,-0.01505,Shared room,57,1,1,91,0
Southwark,51.48858,-0.06079,Shared room,55,1,1,0,0
Camden,51.53524,-0.13822,Shared room,44,1,3,342,6
Redbridge,51.55203,0.07674,Shared room,500,1,1,89,0
Tower Hamlets,51.51071,-0.02028,Shared room,18,3,3,170,15
Tower Hamlets,51.51942,-0.03132,Shared room,12,1,1,0,0
Redbridge,51.56481,0.11126,Shared room,85,1,1,90,0
Lambeth,51.43721,-0.12707,Shared room,30,1,1,4,1
Southwark,51.47227,-0.06304,Shared room,50,1,1,0,0
Redbridge,51.55702,0.07727,Shared room,11,1,1,0,0
Waltham Forest,51.58647,-0.00385,Shared room,25,1,1,0,0
Kensington and Chelsea,51.49315,-0.18797,Shared room,113,1,1,89,0
Lambeth,51.44474,-0.13102,Shared room,49,1,3,180,7
Camden,51.53312,-0.13842,Shared room,41,1,3,344,11
Barking and Dagenham,51.54087,0.07834,Shared room,45,1,2,11,0
Newham,51.54991,0.04802,Shared room,26,2,2,0,0
Hillingdon,51.54468,-0.44307,Shared room,120,1,8,365,6
Camden,51.52875,-0.12063,Shared room,25,1,1,0,0
Haringey,51.59699,-0.10859,Shared room,100,1,1,0,0
Camden,51.55097,-0.19442,Shared room,28,2,1,0,0
Tower Hamlets,51.52099,-0.05779,Shared room,25,1,2,0,0
Tower Hamlets,51.52467,-0.05638,Shared room,52,5,2,0,0
Southwark,51.50288,-0.09171,Shared room,76,1,11,199,181
Southwark,51.50288,-0.09171,Shared room,52,1,11,196,32
Southwark,51.50288,-0.09171,Shared room,47,1,11,191,18
Camden,51.55627,-0.19104,Shared room,50,1,1,0,0
Croydon,51.33129,-0.07655,Shared room,60,2,1,87,0
Lewisham,51.43796,-0.0114,Shared room,100,2,1,88,0
Havering,51.53343,0.19589,Shared room,50,2,2,0,0
Brent,51.5513,-0.23104,Shared room,250,1,1,0,0
Lambeth,51.46757,-0.13938,Shared room,80,1,1,0,0
Lewisham,51.47522,-0.04565,Shared room,60,2,12,0,0
Southwark,51.47257,-0.09765,Shared room,74,1,4,350,0
Barnet,51.58677,-0.22062,Shared room,50,1,2,36,0
Tower Hamlets,51.5197,-0.06808,Shared room,31,4,2,2,23
Hounslow,51.46619,-0.3576,Shared room,50,1,1,89,0
Wandsworth,51.45575,-0.16864,Shared room,850,1,1,365,0
